Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,Volatility,RSI
2000-03-14,1359.1500244140625,1395.1500244140625,1359.1500244140625,1383.6199951171875,1094000000.0,1382.3249877929688,1402.2489990234376,17.777911683686646,49.686115480640176
2000-03-15,1392.1400146484375,1397.989990234375,1356.989990234375,1359.1500244140625,1302800000.0,1383.6199951171875,1400.9873999023437,17.994514877612506,57.14126789528158
2000-03-16,1458.469970703125,1458.469970703125,1392.1500244140625,1392.1500244140625,1482300000.0,1391.2909912109376,1402.1683984375,29.673857892708114,69.71540516281881
2000-03-17,1464.469970703125,1477.3299560546875,1453.3199462890625,1458.469970703125,1295100000.0,1396.8209838867188,1403.4155981445313,37.497459029508796,68.86260160993652
2000-03-20,1456.6300048828125,1470.300048828125,1448.489990234375,1464.469970703125,920800000.0,1403.3559814453124,1404.47919921875,41.86471570144247,65.13235383251944
2000-03-21,1493.8699951171875,1493.9200439453125,1446.06005859375,1456.6300048828125,1065900000.0,1417.1809814453125,1405.5271997070313,46.876487611520034,67.77765288407934
2000-03-22,1500.6400146484375,1505.0799560546875,1487.3299560546875,1493.8699951171875,1075000000.0,1430.5749877929688,1406.3880004882812,49.888461772748684,68.1918425735424
2000-03-23,1527.3499755859375,1532.5,1492.3900146484375,1500.6400146484375,1078300000.0,1443.1409912109375,1408.163798828125,57.10782734930424,68.12354403991436
2000-03-24,1527.4599609375,1552.8699951171875,1516.8299560546875,1527.3499755859375,1052200000.0,1456.3799926757813,1410.067998046875,59.998043670910356,72.08850242984497
2000-03-27,1523.8599853515625,1534.6300048828125,1518.4599609375,1527.4599609375,901000000.0,1470.4039916992188,1411.5515966796875,57.43662582914168,80.45622170325834
2000-03-28,1507.72998046875,1527.3599853515625,1507.0899658203125,1523.8599853515625,959100000.0,1485.2619873046874,1412.4031958007813,42.81598578224253,75.07202697224564
2000-03-29,1508.52001953125,1521.449951171875,1497.449951171875,1507.72998046875,1061900000.0,1496.8999877929687,1413.4707958984375,27.915908376875308,71.62116223085711
2000-03-30,1487.9200439453125,1517.3800048828125,1474.6300048828125,1508.52001953125,1193400000.0,1499.8449951171874,1414.1111962890625,24.789612432852316,67.78534537747692
2000-03-31,1498.5799560546875,1519.81005859375,1484.3800048828125,1487.9200439453125,1227400000.0,1503.2559936523437,1415.171396484375,21.511193010474532,72.08731807171498
2000-04-03,1505.969970703125,1507.18994140625,1486.9599609375,1498.5799560546875,1021700000.0,1508.189990234375,1416.4635961914062,13.962339992461288,80.19001337874913
2000-04-04,1494.72998046875,1526.449951171875,1416.4100341796875,1505.97998046875,1515460000.0,1508.2759887695313,1418.3275952148438,13.86665900576596,73.16744119630232
2000-04-05,1487.3699951171875,1506.550048828125,1478.050048828125,1494.72998046875,1110300000.0,1506.9489868164062,1419.87439453125,15.245040052487594,58.89560962706291
2000-04-06,1501.3399658203125,1511.760009765625,1487.3699951171875,1487.3699951171875,1008000000.0,1504.3479858398437,1421.81939453125,13.496130839684078,60.818039007247144
2000-04-07,1516.3499755859375,1518.6800537109375,1501.3399658203125,1501.3399658203125,891600000.0,1503.2369873046875,1424.1751928710937,11.722964719237137,66.8149641102772
2000-04-10,1504.4599609375,1527.18994140625,1503.3499755859375,1516.3499755859375,853700000.0,1501.2969848632813,1427.06119140625,9.28201748672504,53.47828143956981
2000-04-11,1500.5899658203125,1512.800048828125,1486.780029296875,1504.4599609375,971400000.0,1500.5829833984376,1429.1837915039061,9.002599008459057,49.98324218718068
2000-04-12,1467.1700439453125,1509.0799560546875,1466.1500244140625,1500.5899658203125,1175900000.0,1496.4479858398438,1430.341591796875,13.382687956181815,30.716479513845968
2000-04-13,1440.510009765625,1477.52001953125,1439.3399658203125,1467.1700439453125,1032000000.0,1491.706982421875,1430.9693920898437,22.219679147158953,26.189817191879
2000-04-14,1356.56005859375,1440.510009765625,1339.4000244140625,1440.510009765625,1279700000.0,1477.5049926757813,1429.6011938476563,47.893302012320696,18.186650622120766
2000-04-17,1401.43994140625,1401.530029296875,1346.5,1356.56005859375,1204700000.0,1467.0519897460938,1429.1425927734374,52.20355431369791,31.78028911221574
2000-04-18,1441.6099853515625,1441.6099853515625,1397.81005859375,1401.43994140625,1109400000.0,1461.739990234375,1429.4899926757812,51.77510209860819,39.894872024609505
